title,Links,Average_score,number_of_comments,Feedback
Сонная лощина,http://www.world-art.ru/cinema/cinema.php?id=5429,0,0,
Куда приводят мечты,http://www.world-art.ru/cinema/cinema.php?id=5043,0,0,
Легенда 2,http://www.world-art.ru/cinema/cinema.php?id=9376,0,0,
Человек с бульвара Капуцинов,http://www.world-art.ru/cinema/cinema.php?id=4304,0,0,
Пинк Флойд: Стена,http://www.world-art.ru/cinema/cinema.php?id=14494,0,0,
Мирный воин,http://www.world-art.ru/cinema/cinema.php?id=19301,0,0,
Розенкранц и Гильденстерн мертвы,http://www.world-art.ru/cinema/cinema.php?id=17003,0,0,
Бегущий по лезвию,http://www.world-art.ru/cinema/cinema.php?id=6252,0,0,
Римские каникулы,http://www.world-art.ru/cinema/cinema.php?id=188,0,0,
Письма с Иводзимы,http://www.world-art.ru/cinema/cinema.php?id=17142,0,0,
Помни,http://www.world-art.ru/cinema/cinema.php?id=5006,0,0,
Операция «Феникс»,http://www.world-art.ru/cinema/cinema.php?id=9042,0,0,
Джанго освобождённый,http://www.world-art.ru/cinema/cinema.php?id=37187,0,0,
Сталкер,http://www.world-art.ru/cinema/cinema.php?id=4058,0,0,
Господин Никто,http://www.world-art.ru/cinema/cinema.php?id=26166,0,0,
Далеко на Север,http://www.world-art.ru/cinema/cinema.php?id=72872,0,0,
Белое солнце пустыни,http://www.world-art.ru/cinema/cinema.php?id=4306,0,0,
Загадочная история Бенджамина Баттона,http://www.world-art.ru/cinema/cinema.php?id=19638,0,0,
За кровь платят кровью,http://www.world-art.ru/cinema/cinema.php?id=7870,0,0,
Тайна Келлс,http://www.world-art.ru/cinema/cinema.php?id=25653,0,0,
Бродяга Кэнсин,http://www.world-art.ru/cinema/cinema.php?id=40662,0,0,
Вам и не снилось...,http://www.world-art.ru/cinema/cinema.php?id=12523,0,0,
Юки,http://www.world-art.ru/cinema/cinema.php?id=19523,0,0,
Тайна Николы Тесла,http://www.world-art.ru/cinema/cinema.php?id=7745,0,0,
Земля до начала времен,http://www.world-art.ru/cinema/cinema.php?id=26740,0,0,
Эрнест и Селестина: Приключения мышки и медведя,http://www.world-art.ru/cinema/cinema.php?id=47758,0,0,
Тайна Коко,http://www.world-art.ru/cinema/cinema.php?id=70081,0,0,
Я отдам тебе свою первую любовь (фильм),http://www.world-art.ru/cinema/cinema.php?id=23823,0,0,
Мулан,http://www.world-art.ru/cinema/cinema.php?id=73127,0,0,
